received_at,timestamp_ms,sync_state,frame_num,rssi,snr,lq,msg_type,payload_hex
2026-02-15T14:40:15.708759,14296,1,1100,0,0,53,NONE,
2026-02-15T14:40:15.807518,14396,1,1101,0,0,53,NONE,
2026-02-15T14:40:15.907238,14496,1,1102,0,0,52,NONE,
2026-02-15T14:40:16.005946,14596,1,1103,0,0,51,NONE,
2026-02-15T14:40:16.105065,14696,1,1104,0,0,50,NONE,
2026-02-15T14:40:16.204290,14796,1,1105,0,0,49,NONE,
2026-02-15T14:40:16.303432,14896,1,1106,0,0,48,NONE,
2026-02-15T14:40:16.403706,14996,1,1107,0,0,47,NONE,
2026-02-15T14:40:16.703249,15298,1,1110,-71,10,47,DL,
2026-02-15T14:40:16.801673,15398,1,1111,-70,12,48,DL,
2026-02-15T14:40:16.907105,15498,1,1112,-71,12,49,DL,
2026-02-15T14:40:17.001442,15599,1,1113,-71,12,49,DL,
2026-02-15T14:40:17.100535,15699,1,1114,0,0,49,NONE,
2026-02-15T14:40:17.199801,15799,1,1115,-73,13,49,DL,
2026-02-15T14:40:17.299445,15899,1,1116,-74,11,49,DL,
2026-02-15T14:40:17.398813,15999,1,1117,-71,12,50,DL,
2026-02-15T14:40:17.498429,16099,1,1118,-74,11,50,DL,
2026-02-15T14:40:17.597555,16200,1,1119,-70,12,50,DL,
2026-02-15T14:40:17.696300,16300,1,1120,0,0,50,NONE,
2026-02-15T14:40:17.796471,16400,1,1121,-74,10,51,DL,
2026-02-15T14:40:17.895687,16500,1,1122,-70,13,51,DL,
2026-02-15T14:40:17.995059,16600,1,1123,-70,12,51,DL,
2026-02-15T14:40:18.094445,16700,1,1124,0,0,51,NONE,
2026-02-15T14:40:18.193110,16801,1,1125,-72,12,52,DL,
2026-02-15T14:40:18.293598,16901,1,1126,-74,12,52,DL,
2026-02-15T14:40:18.392463,17001,1,1127,-72,12,53,DL,
2026-02-15T14:40:18.491650,17101,1,1128,0,0,53,NONE,
2026-02-15T14:40:18.591283,17201,1,1129,-71,13,54,DL,
