received_at,timestamp_ms,sync_state,frame_num,rssi,snr,lq,msg_type,payload_hex
2026-02-11T19:13:43.970247,481826,1,4807,0,0,0,NONE,
2026-02-11T19:13:44.069573,481926,1,4808,0,0,0,NONE,
2026-02-11T19:13:44.168597,482026,1,4809,0,0,0,NONE,
2026-02-11T19:13:44.268061,482126,1,4810,0,0,0,NONE,
2026-02-11T19:13:44.367935,482226,1,4811,0,0,0,NONE,
2026-02-11T19:13:44.467100,482326,1,4812,0,0,0,NONE,
2026-02-11T19:13:44.566384,482426,1,4813,0,0,0,NONE,
2026-02-11T19:13:44.665991,482526,1,4814,0,0,0,NONE,
2026-02-11T19:13:44.765269,482626,1,4815,0,0,0,NONE,
2026-02-11T19:13:44.864460,482726,1,4816,0,0,0,NONE,
2026-02-11T19:13:44.963966,482826,1,4817,0,0,0,NONE,
2026-02-11T19:13:45.063240,482926,1,4818,0,0,0,NONE,
2026-02-11T19:13:45.162616,483026,1,4819,0,0,0,NONE,
2026-02-11T19:13:45.261551,483126,1,4820,0,0,0,NONE,
2026-02-11T19:13:45.361162,483226,1,4821,0,0,0,NONE,
2026-02-11T19:13:45.460480,483326,1,4822,0,0,0,NONE,
2026-02-11T19:13:45.559987,483426,1,4823,0,0,0,NONE,
2026-02-11T19:13:45.659295,483526,1,4824,0,0,0,NONE,
2026-02-11T19:13:45.758181,483626,1,4825,0,0,0,NONE,
2026-02-11T19:13:45.858096,483726,1,4826,0,0,0,NONE,
2026-02-11T19:13:45.957315,483826,1,4827,0,0,0,NONE,
2026-02-11T19:13:46.056447,483926,1,4828,0,0,0,NONE,
2026-02-11T19:13:46.156210,484026,1,4829,0,0,0,NONE,
2026-02-11T19:13:46.255132,484126,1,4830,0,0,0,NONE,
2026-02-11T19:13:46.355071,484226,1,4831,0,0,0,NONE,
2026-02-11T19:13:46.454446,484326,1,4832,0,0,0,NONE,
2026-02-11T19:13:46.553705,484426,1,4833,0,0,0,NONE,
2026-02-11T19:13:46.652931,484526,1,4834,0,0,0,NONE,
2026-02-11T19:13:46.751633,484626,1,4835,0,0,0,NONE,
2026-02-11T19:13:46.851990,484726,1,4836,0,0,0,NONE,
2026-02-11T19:13:46.950405,484826,1,4837,0,0,0,NONE,
2026-02-11T19:13:47.049958,484926,1,4838,0,0,0,NONE,
2026-02-11T19:13:47.149580,485026,1,4839,0,0,0,NONE,
2026-02-11T19:13:47.249007,485126,1,4840,0,0,0,NONE,
2026-02-11T19:13:47.348126,485226,1,4841,0,0,0,NONE,
2026-02-11T19:13:47.450261,485326,1,4842,0,0,0,NONE,
2026-02-11T19:13:47.546722,485426,1,4843,0,0,0,NONE,
2026-02-11T19:13:47.646138,485526,1,4844,0,0,0,NONE,
2026-02-11T19:13:47.745102,485626,1,4845,0,0,0,NONE,
2026-02-11T19:13:47.845165,485726,1,4846,0,0,0,NONE,
2026-02-11T19:13:47.944262,485826,1,4847,0,0,0,NONE,
2026-02-11T19:13:48.044054,485926,1,4848,0,0,0,NONE,
2026-02-11T19:13:48.143196,486026,1,4849,0,0,0,NONE,
