received_at,timestamp_ms,sync_state,frame_num,rssi,snr,lq,msg_type,payload_hex
2026-02-12T09:43:22.943491,0,1,1,-45,8,97,DL,
2026-02-12T09:43:22.995651,53,1,2,-48,6,97,DL,
2026-02-12T09:43:23.048128,105,1,3,-49,8,99,DL,
2026-02-12T09:43:23.101647,159,1,4,-52,8,99,DL,
2026-02-12T09:43:23.154485,212,1,5,-53,7,95,DL,
2026-02-12T09:43:23.224487,277,1,6,-40,9,97,UL,
2026-02-12T09:43:23.265265,322,1,7,-55,11,100,DL,
2026-02-12T09:43:23.316599,374,1,8,-43,12,95,DL,
2026-02-12T09:43:23.368664,426,1,9,-53,9,97,UL,
2026-02-12T09:43:23.420867,478,1,10,-51,9,95,DL,
2026-02-12T09:43:23.472324,530,1,11,-41,9,98,DL,
2026-02-12T09:43:23.523061,580,1,12,-52,6,95,DL,
2026-02-12T09:43:23.574168,631,1,13,-55,6,98,DL,
2026-02-12T09:43:23.625241,682,1,14,-53,9,97,UL,
2026-02-12T09:43:23.677106,734,1,15,-51,8,98,DL,
2026-02-12T09:43:23.728602,786,1,16,-50,6,95,DL,
2026-02-12T09:43:23.779525,837,1,17,-50,10,99,DL,
2026-02-12T09:43:23.831068,888,1,18,-49,11,95,DL,
2026-02-12T09:43:23.881838,939,1,19,-46,11,100,DL,
2026-02-12T09:43:23.932384,990,1,20,-55,8,100,DL,
2026-02-12T09:43:23.984313,1041,1,21,-53,12,97,DL,
2026-02-12T09:43:24.035278,1092,1,22,-40,7,100,UL,
2026-02-12T09:43:24.086052,1143,1,23,-52,11,99,UL,
2026-02-12T09:43:24.136837,1194,1,24,-50,7,99,DL,
2026-02-12T09:43:24.187619,1245,1,25,-53,12,98,DL,
2026-02-12T09:43:24.238516,1296,1,26,-50,10,97,UL,
2026-02-12T09:43:24.289428,1347,1,27,-43,11,95,DL,
2026-02-12T09:43:24.340385,1398,1,28,-50,11,99,DL,
2026-02-12T09:43:24.391534,1449,1,29,-54,9,99,DL,
2026-02-12T09:43:24.442269,1500,1,30,-44,12,96,DL,
2026-02-12T09:43:24.493337,1550,1,31,-46,8,97,DL,
2026-02-12T09:43:24.544185,1602,1,32,-51,10,98,DL,
2026-02-12T09:43:24.594864,1652,1,33,-54,12,96,DL,
2026-02-12T09:43:24.648415,1706,1,34,-52,9,99,DL,
