received_at,timestamp_ms,sync_state,frame_num,rssi,snr,lq,msg_type,payload_hex
2026-02-11T19:19:38.261168,8926,1,78,0,0,2,NONE,
2026-02-11T19:19:38.359593,9026,1,79,0,0,2,NONE,
2026-02-11T19:19:38.458907,9126,1,80,0,0,2,NONE,
2026-02-11T19:19:38.558180,9226,1,81,0,0,2,NONE,
2026-02-11T19:19:38.657755,9326,1,82,0,0,2,NONE,
2026-02-11T19:19:38.756860,9426,1,83,0,0,2,NONE,
2026-02-11T19:19:38.856283,9526,1,84,0,0,2,NONE,
2026-02-11T19:19:38.955758,9626,1,85,0,0,2,NONE,
2026-02-11T19:19:39.055137,9726,1,86,0,0,2,NONE,
2026-02-11T19:19:39.154124,9826,1,87,0,0,2,NONE,
2026-02-11T19:19:39.253926,9926,1,88,0,0,2,NONE,
2026-02-11T19:19:39.353355,10026,1,89,0,0,2,NONE,
2026-02-11T19:19:39.452876,10126,1,90,0,0,2,NONE,
2026-02-11T19:19:39.551885,10226,1,91,0,0,2,NONE,
2026-02-11T19:19:39.651122,10326,1,92,0,0,2,NONE,
2026-02-11T19:19:39.751140,10426,1,93,0,0,2,NONE,
2026-02-11T19:19:39.854902,10526,1,94,0,0,2,NONE,
2026-02-11T19:19:39.949557,10626,1,95,0,0,2,NONE,
2026-02-11T19:19:40.048846,10726,1,96,0,0,2,NONE,
2026-02-11T19:19:40.147628,10826,1,97,0,0,2,NONE,
2026-02-11T19:19:40.247427,10926,1,98,0,0,2,NONE,
2026-02-11T19:19:40.346398,11026,1,99,0,0,2,NONE,
2026-02-11T19:19:40.445877,11126,1,100,0,0,2,NONE,
2026-02-11T19:19:40.545553,11226,1,101,0,0,2,NONE,
2026-02-11T19:19:40.644950,11326,1,102,0,0,2,NONE,
2026-02-11T19:19:40.744190,11426,1,103,0,0,1,NONE,
2026-02-11T19:19:40.843688,11526,1,104,0,0,1,NONE,
2026-02-11T19:19:40.943075,11626,1,105,0,0,1,NONE,
2026-02-11T19:19:41.042404,11726,1,106,0,0,1,NONE,
2026-02-11T19:19:41.141432,11826,1,107,0,0,1,NONE,
2026-02-11T19:19:41.241030,11926,1,108,0,0,1,NONE,
2026-02-11T19:19:41.340866,12026,1,109,0,0,1,NONE,
